kepid,pl_name,ProbeScore,Score_Detection,Score_Habitability,Score_Type,Score_Radio,pl_rade,pl_bmasse,pl_eqt,pl_dens,rank
5965819.0,Kepler-1468 c,0.685,0.5,0.6,1.0,1.0,1.15,1.6,1448.0,,178
6586746.0,Kepler-1335 b,0.685,0.5,0.6,1.0,1.0,1.45,2.7,809.0,,179
7046035.0,Kepler-1603 b,0.685,0.5,0.6,1.0,1.0,1.29,2.21,1522.0,,180
5780930.0,Kepler-1492 b,0.685,0.5,0.6,1.0,1.0,1.49,2.83,801.0,,181
9221517.0,Kepler-1173 b,0.685,0.5,0.6,1.0,1.0,0.89,0.64,1650.0,,182
7673192.0,Kepler-402 b,0.685,0.5,0.6,1.0,1.0,1.22,1.98,1311.0,,183
7515212.0,Kepler-212 b,0.685,0.5,0.6,1.0,1.0,1.09,1.32,830.0,,184
7534267.0,Kepler-1441 b,0.685,0.5,0.6,1.0,1.0,1.31,2.27,682.0,,185
7582689.0,Kepler-431 d,0.685,0.5,0.6,1.0,1.0,1.11,1.41,856.0,,186
7595157.0,Kepler-605 b,0.685,0.5,0.6,1.0,1.0,1.44,2.67,1133.0,,187
7604328.0,Kepler-1245 b,0.685,0.5,0.6,1.0,1.0,1.44,2.67,1043.0,,188
7610663.0,Kepler-1560 b,0.685,0.5,0.6,1.0,1.0,0.89,0.64,1269.0,,189
7620413.0,Kepler-1098 b,0.685,0.5,0.6,1.0,1.0,1.3,2.24,1319.0,,190
5542466.0,Kepler-1756 b,0.685,0.5,0.6,1.0,1.0,1.47199944,2.77,1093.0,,191
7626370.0,Kepler-932 b,0.685,0.5,0.6,1.0,1.0,1.37,2.45,1276.0,,192
7663405.0,Kepler-876 b,0.685,0.5,0.6,1.0,1.0,1.43,2.63,923.0,,193
7668663.0,Kepler-1005 b,0.685,0.5,0.6,1.0,1.0,1.5,2.86,1026.0,,194
5531576.0,Kepler-240 b,0.685,0.5,0.6,1.0,1.0,1.37,2.45,864.0,,195
7673841.0,Kepler-392 b,0.685,0.5,0.6,1.0,1.0,1.0,0.972,1125.0,,196
7100673.0,Kepler-1542 d,0.685,0.5,0.6,1.0,1.0,0.87,0.59,1010.0,,197
7676423.0,Kepler-1430 b,0.685,0.5,0.6,1.0,1.0,1.18,1.76,969.0,,198
7678434.0,Kepler-716 c,0.685,0.5,0.6,1.0,1.0,1.39281536,2.52,992.0,,199
7691260.0,Kepler-882 b,0.685,0.5,0.6,1.0,1.0,1.23,2.04,903.0,,200
7742408.0,Kepler-1697 b,0.685,0.5,0.6,1.0,1.0,1.25954761,2.12,630.0,,201
7747425.0,Kepler-341 b,0.685,0.5,0.6,1.0,1.0,1.18,1.76,1085.0,,202
7749773.0,Kepler-1882 b,0.685,0.5,0.6,1.0,1.0,1.48674404,2.81,894.0,,203
7762723.0,Kepler-1867 b,0.685,0.5,0.6,1.0,1.0,1.15985997,1.65,768.0,,204
7802719.0,Kepler-1157 b,0.685,0.5,0.6,1.0,1.0,1.09,1.32,732.0,,205
5450893.0,Kepler-1890 b,0.685,0.5,0.6,1.0,1.0,0.86867375,0.587,1328.0,,206
5445681.0,Kepler-1417 b,0.685,0.5,0.6,1.0,1.0,1.0,0.972,695.0,,207
7826620.0,Kepler-1579 b,0.685,0.5,0.6,1.0,1.0,0.84,0.52,1139.0,,208
5440317.0,Kepler-1438 b,0.685,0.5,0.6,1.0,1.0,0.94,0.779,1490.0,,209
7509886.0,Kepler-211 b,0.685,0.5,0.6,1.0,1.0,1.26,2.13,954.0,,210
5617854.0,Kepler-901 b,0.685,0.5,0.6,1.0,1.0,1.37,2.45,704.0,,211
7457296.0,Kepler-1145 b,0.685,0.5,0.6,1.0,1.0,1.4,2.54,958.0,,212
7455981.0,Kepler-1425 b,0.685,0.5,0.6,1.0,1.0,0.94,0.779,676.0,,213
7102227.0,Kepler-290 d,0.685,0.5,0.6,1.0,1.0,0.86,0.566,1589.0,,214
7107802.0,Kepler-1231 b,0.685,0.5,0.6,1.0,1.0,1.42,2.6,870.0,,215
7120108.0,Kepler-1825 b,0.685,0.5,0.6,1.0,1.0,1.42200732,2.61,1520.0,,216
7133294.0,Kepler-1607 b,0.685,0.5,0.6,1.0,1.0,0.92,0.721,913.0,,217
7134976.0,Kepler-246 c,0.685,0.5,0.6,1.0,1.0,1.5,2.86,667.0,,218
7175184.0,Kepler-144 b,0.685,0.5,0.6,1.0,1.0,1.33,2.33,1253.0,,219
7211221.0,Kepler-831 b,0.685,0.5,0.6,1.0,1.0,1.27,2.15,992.0,,220
7216284.0,Kepler-1420 b,0.685,0.5,0.6,1.0,1.0,1.28,2.18,806.0,,221
7219825.0,Kepler-123 c,0.685,0.5,0.6,1.0,1.0,1.48,2.79,706.0,,222
5706966.0,Kepler-333 c,0.685,0.5,0.6,1.0,1.0,1.11,1.41,386.0,,223
7220429.0,Kepler-931 b,0.685,0.5,0.6,1.0,1.0,1.33,2.33,744.0,,224
7259298.0,Kepler-1278 b,0.685,0.5,0.6,1.0,1.0,1.01,1.01,1213.0,,225
7269493.0,Kepler-1027 b,0.685,0.5,0.6,1.0,1.0,0.89,0.64,1268.0,,226
7287995.0,Kepler-81 d,0.685,0.5,0.6,1.0,1.0,1.21,1.92,418.0,,227
5689351.0,Kepler-169 b,0.685,0.5,0.6,1.0,1.0,1.13,1.51,962.0,,228
7295235.0,Kepler-743 b,0.685,0.5,0.6,1.0,1.0,1.21,1.92,1101.0,,229
5688790.0,Kepler-1439 b,0.685,0.5,0.6,1.0,1.0,1.46,2.73,420.0,,230
5688683.0,Kepler-1939 b,0.685,0.5,0.6,1.0,1.0,1.16480773,1.68,816.0,,231
7304449.0,Kepler-1650 b,0.685,0.5,0.6,1.0,1.0,0.96,0.84,602.0,,232
7350067.0,Kepler-1646 b,0.685,0.5,0.6,1.0,1.0,1.23,2.04,365.0,,233
5652893.0,Kepler-1347 b,0.685,0.5,0.6,1.0,1.0,1.03,1.08,617.0,,234
5644412.0,Kepler-1565 b,0.685,0.5,0.6,1.0,1.0,1.19,1.81,1234.0,,235
7419318.0,Kepler-137 b,0.685,0.5,0.6,1.0,1.0,1.47,2.76,742.0,,236
7427764.0,Kepler-1595 b,0.685,0.5,0.6,1.0,1.0,1.23,2.04,980.0,,237
7455287.0,Kepler-54 c,0.685,0.5,0.6,1.0,1.0,1.23,0.7,395.0,,238
9216775.0,Kepler-1612 b,0.685,0.5,0.6,1.0,1.0,1.03,1.08,1030.0,,239
9086251.0,Kepler-1833 b,0.685,0.5,0.6,1.0,1.0,1.30027362,2.24,1177.0,,240
3632089.0,Kepler-1464 c,0.685,0.5,0.6,1.0,1.0,1.0,0.972,1023.0,,241
11361646.0,Kepler-524 c,0.685,0.5,0.6,1.0,1.0,0.96,0.84,1574.0,,242
10975146.0,Kepler-808 b,0.685,0.5,0.6,1.0,1.0,1.46,2.73,1322.0,,243
10978763.0,Kepler-339 b,0.685,0.5,0.6,1.0,1.0,1.42,2.6,1023.0,,244
10984090.0,Kepler-466 c,0.685,0.5,0.6,1.0,1.0,1.25,2.1,1206.0,,245
11014932.0,Kepler-299 b,0.685,0.5,0.6,1.0,1.0,1.32,2.3,1258.0,,246
11019987.0,Kepler-1421 b,0.685,0.5,0.6,1.0,1.0,0.93,0.749,1209.0,,247
11030475.0,Kepler-1813 b,0.685,0.5,0.6,1.0,1.0,1.413,2.58,1059.0,,248
3342794.0,Kepler-376 b,0.685,0.5,0.6,1.0,1.0,1.07,1.24,1242.0,,249
3338885.0,Kepler-975 b,0.685,0.5,0.6,1.0,1.0,1.48,2.79,1599.0,,250
3328080.0,Kepler-1898 b,0.685,0.5,0.6,1.0,1.0,0.93353523,0.76,1167.0,,251
11046025.0,Kepler-1759 b,0.685,0.5,0.6,1.0,1.0,0.9037791,0.676,954.0,,252
11075737.0,Kepler-97 b,0.685,0.5,0.6,1.0,1.0,1.48,3.51,1328.0,,253
11090556.0,Kepler-1398 b,0.685,0.5,0.6,1.0,1.0,0.9,0.666,1510.0,,254
11121752.0,Kepler-380 b,0.685,0.5,0.6,1.0,1.0,1.19,1.81,1317.0,,255
11125613.0,Kepler-1254 c,0.685,0.5,0.6,1.0,1.0,1.3,2.24,927.0,,256
11125797.0,Kepler-1482 b,0.685,0.5,0.6,1.0,1.0,1.01,1.01,678.0,,257
11135308.0,Kepler-1352 b,0.685,0.5,0.6,1.0,1.0,0.89,0.64,1701.0,,258
11192235.0,Kepler-1826 b,0.685,0.5,0.6,1.0,1.0,1.47519116,2.78,806.0,,259
11236244.0,Kepler-1246 b,0.685,0.5,0.6,1.0,1.0,1.36,2.42,554.0,,260
