kepid,pl_name,Score_Habitability,Score_Type,Score_Detection,Score_Radio,ProbeScore,rank,pl_rade,pl_bmasse,pl_eqt,pl_dens,planet_type_rule
5689351.0,Kepler-169 b,0.6,1.0,0.5,1.0,0.685,228,1.13,1.51,962.0,,Earth-like
7295235.0,Kepler-743 b,0.6,1.0,0.5,1.0,0.685,229,1.21,1.92,1101.0,,Earth-like
5688790.0,Kepler-1439 b,0.6,1.0,0.5,1.0,0.685,230,1.46,2.73,420.0,,Earth-like
5688683.0,Kepler-1939 b,0.6,1.0,0.5,1.0,0.685,231,1.16480773,1.68,816.0,,Earth-like
7304449.0,Kepler-1650 b,0.6,1.0,0.5,1.0,0.685,232,0.96,0.84,602.0,,Earth-like
7350067.0,Kepler-1646 b,0.6,1.0,0.5,1.0,0.685,233,1.23,2.04,365.0,,Earth-like
5652893.0,Kepler-1347 b,0.6,1.0,0.5,1.0,0.685,234,1.03,1.08,617.0,,Earth-like
5644412.0,Kepler-1565 b,0.6,1.0,0.5,1.0,0.685,235,1.19,1.81,1234.0,,Earth-like
7419318.0,Kepler-137 b,0.6,1.0,0.5,1.0,0.685,236,1.47,2.76,742.0,,Earth-like
7427764.0,Kepler-1595 b,0.6,1.0,0.5,1.0,0.685,237,1.23,2.04,980.0,,Earth-like
7455287.0,Kepler-54 c,0.6,1.0,0.5,1.0,0.685,238,1.23,0.7,395.0,,Earth-like
