kepid,pl_name,Score_Detection,Score_Habitability,Score_Type,Score_Radio,Priority__default,Priority__comms_heavy
6345732.0,Kepler-1370 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6356692.0,Kepler-1888 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6362874.0,Kepler-775 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6382217.0,Kepler-353 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6451936.0,Kepler-173 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5965819.0,Kepler-1468 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6586746.0,Kepler-1335 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7046035.0,Kepler-1603 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5780930.0,Kepler-1492 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9221517.0,Kepler-1173 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7673192.0,Kepler-402 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7515212.0,Kepler-212 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7534267.0,Kepler-1441 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7582689.0,Kepler-431 d,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7595157.0,Kepler-605 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7604328.0,Kepler-1245 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7610663.0,Kepler-1560 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7620413.0,Kepler-1098 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5542466.0,Kepler-1756 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7626370.0,Kepler-932 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7663405.0,Kepler-876 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7668663.0,Kepler-1005 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5531576.0,Kepler-240 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7673841.0,Kepler-392 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7100673.0,Kepler-1542 d,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7676423.0,Kepler-1430 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7678434.0,Kepler-716 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7691260.0,Kepler-882 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
