kepid,kepoi_name,fpp_prob,fpp_score,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,pp_host_rel_prob,pp_host_prob_score,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,fpp_fp_components_sum,radio_silence_risk,Radio_Silent,risk_threshold_0p75
5791986,K00413.02,0.00036,1.0,2.2e-09,0.00027,8.3e-05,2.8e-08,2e-08,3.2e-06,0.026,5357.0,1.0,1.0,1.0,0.0,1.44e-05,0.0003562502,0.33179338292784316,0,0.6606315896878756
5872150,K00414.01,0.021,1.0,0.021,0.0006,3.5e-05,5.3e-15,5.7e-05,1.7000000000000002e-20,0.149,5780.0,1.0,1.0,1.0,3e-34,5.89e-05,0.021692000000005304,0.3388106857834779,0,0.6606315896878756
5872150,K00414.02,0.00075,1.0,2.3999999999999997e-19,3.9e-13,0.00074,1.1e-06,9.8e-07,4.4e-06,0.024,5786.0,9.3e-98,1.0,0.99,9.3e-98,0.009722,0.0007464800003900002,0.6619382597619177,1,0.6606315896878756
6289650,K00415.01,0.017,1.0,0.0012,0.015,8.8e-05,1.1e-07,0.00043,1.2e-10,0.062,5758.0,1.0,1.0,1.0,0.0,6.647e-07,0.01671811012,0.3372672212701333,0,0.6606315896878756
6508221,K00416.01,5.2e-06,1.0,4.9e-13,2.9e-11,5.2e-06,1.8e-12,2.8e-24,4.4e-13,0.038,5214.0,1.0,1.0,1.0,0.0,1.721e-06,5.20003173e-06,0.3316766691255499,0,0.6606315896878756
6508221,K00416.02,0.001,1.0,6.1e-05,0.0009,4.4e-05,1.7e-10,3.2e-09,9.1e-08,0.037,5216.0,1.0,1.0,1.0,0.0,3.264e-06,0.00100509437,0.3320055909985704,0,0.6606315896878756
2571238,K00084.01,1.1e-07,1.0,1.3000000000000001e-12,1.4e-13,1.1e-07,1.1e-10,1.6e-14,3.3e-17,0.024,5611.0,1.0,1.0,1.0,0.0,5.952e-06,1.1011145603300002e-07,0.33167499476252377,0,0.6606315896878756
5866724,K00085.01,5.4e-10,1.0,9.700000000000001e-12,2.1000000000000003e-12,4.8999999999999993e-14,5.2e-10,2.1e-14,8.499999999999999e-37,0.016,6251.0,1.0,0.67,1.0,0.0,5.737e-05,5.318699999999999e-10,0.33167495871826674,0,0.6606315896878756
5866724,K00085.02,1.5e-06,1.0,9.5e-18,6.8e-21,2.5e-15,5e-07,1e-06,9.4e-11,0.009,6250.0,1.0,0.67,1.0,0.0,4.564e-05,1.5000940025095067e-06,0.3316754520064996,0,0.6606315896878756
5866724,K00085.03,5.8e-06,1.0,1.1e-10,1.1e-13,5.8e-06,2.6e-08,4.3e-12,3.4e-11,0.01,6252.0,1.0,0.78,1.0,0.0,4.662e-05,5.82614841e-06,0.33167687509078364,0,0.6606315896878756
10593626,K00087.01,0.039,1.0,0.0033,0.035,4e-08,5.2e-11,1.6e-07,4.4e-09,0.024,5677.0,1.0,1.0,1.0,1.8000000000000002e-23,3.09e-07,0.038300204452000004,0.3445042671553727,0,0.6606315896878756
7700871,K00088.01,0.97,1.0,5.7e-12,2.9e-12,0.33,0.039,0.4,0.21,0.212,5740.0,0.0,1.0,1.1e-14,0.0,1.0,0.9790000000086,0.6553818752293193,0,0.6606315896878756
8056665,K00089.01,9.7e-05,1.0,7.4e-05,1.8e-06,1.9e-23,4.1e-21,1.0999999999999999e-38,7.400000000000001e-34,0.017,7108.0,1.0,1.0,1.0,1.2e-05,6.028e-05,7.58e-05,0.3317108474333539,0,0.6606315896878756
8056665,K00089.02,0.018,1.0,0.0054,0.013,1.4e-05,3.7e-12,1.3e-20,4.6e-08,0.023,7109.0,1.0,1.0,1.0,1.6e-09,2.578e-05,0.0184140460037,0.3377323816104776,0,0.6606315896878756
9210823,K00090.01,1.0,1.0,1.6e-34,1.9999999999999998e-32,4.8e-05,0.0008,0.025,0.97,0.011,5849.0,0.0,1.0,0.0,0.0,1.0,0.995848,0.6622899644805788,1,0.6606315896878756
7941200,K00092.01,0.2,1.0,0.0098,0.18,8.3e-05,2.9e-06,3.5e-05,1.4e-10,0.024,6007.0,1.0,1.0,1.0,0.0,5.22e-06,0.18992090014000002,0.3974662847700792,0,0.6606315896878756
6462863,K00094.01,1.7e-05,1.0,1.7e-05,1.2e-09,6.5e-19,5.4e-12,6.8e-25,5.4e-27,0.069,6209.0,1.0,1.0,1.0,9.999999999999999e-102,1.382e-06,1.700120540000065e-05,0.331680551199884,0,0.6606315896878756
6305192,K00219.01,0.0023,1.0,0.001,4.8999999999999993e-14,0.0012,3e-15,9e-25,4.0999999999999996e-15,0.052,5973.0,1.0,1.0,1.0,0.0,1.567e-06,0.0022000000000561002,0.3324315587922688,0,0.6606315896878756
7132798,K00220.01,6.7e-05,1.0,4.3e-07,6.7e-05,1e-08,1.9e-11,2.3e-14,2.5e-30,0.039,5758.0,1.0,1.0,1.0,8.5e-102,1.24e-06,6.744001902299999e-05,0.3316971433820925,0,0.6606315896878756
7132798,K00220.02,4.8e-05,1.0,1.8000000000000002e-20,4.4e-13,3.9e-05,1.3e-07,5.7e-07,7.6e-06,0.01,5740.0,0.97,0.99,0.97,0.034,0.0001569,4.7300000440000024e-05,0.34301744829308783,0,0.6606315896878756
3937519,K00221.01,2.2e-05,1.0,2.1e-05,1.5999999999999999e-21,1.1e-06,8.1e-12,1.5999999999999998e-15,1.3e-16,0.056,5379.0,1.0,1.0,1.0,5.5e-41,7.211e-07,2.210000810173e-05,0.33168222848484363,0,0.6606315896878756
4249725,K00222.01,1.6e-05,1.0,3.8e-13,4.2e-24,1.6e-05,2.5e-10,4.3e-18,6.2e-11,0.032,4626.0,1.0,1.0,1.0,0.0,2.106e-06,1.60003123800043e-05,0.331680221949488,0,0.6606315896878756
4249725,K00222.02,8.1e-05,1.0,2.2000000000000002e-18,1.3999999999999999e-15,8e-05,5.8e-07,1.6e-14,1.1e-08,0.026,4621.0,1.0,1.0,1.0,0.0,6.97e-06,8.05910000174022e-05,0.3317016040277531,0,0.6606315896878756
4545187,K00223.01,1e-06,1.0,4.4e-10,2.1e-08,2.8e-07,2.3e-07,4.8e-07,1.3e-09,0.034,5323.0,1.0,1.0,1.0,0.0,1.759e-06,1.0127400000000001e-06,0.3316752916881688,0,0.6606315896878756
4545187,K00223.02,0.00095,1.0,4.5e-07,0.00091,4.3e-05,1.1e-07,2.5e-08,3.4e-07,0.034,5337.0,1.0,1.0,1.0,0.0,8.439e-06,0.000953925,0.33198875849499726,0,0.6606315896878756
5547480,K00224.01,1.0,1.0,0.022,0.61,0.16,0.0051,0.12,0.089,0.249,6063.0,8.100000000000001e-100,1.0,1.0,8.100000000000001e-100,0.000157,1.0061,0.9959715584712071,1,0.6606315896878756
5801571,K00225.01,1.0,1.0,0.0055,0.032,0.0018,0.029,0.043,0.89,0.331,6362.0,0.00057,1.0,1.0,0.00057,5.466e-06,1.0013,0.9943916213680687,1,0.6606315896878756
6196457,K00285.02,4.8e-05,1.0,2.3000000000000003e-12,7.4e-07,7.7e-11,1.1e-13,1.1e-10,9.300000000000001e-17,0.013,5820.0,0.78,1.0,0.78,0.12,2.051e-05,7.401894100929999e-07,0.37185658593819554,0,0.6606315896878756
6196457,K00285.03,0.011,0.99,8.2e-17,1.9e-08,3.2e-10,8.5e-13,2.1e-21,2.4e-51,0.01,5820.0,0.95,1.0,0.95,0.027,1.742e-05,1.93208500820021e-08,0.344331624103482,0,0.6606315896878756
8258171,K00286.01,1.0,1.0,5.6e-05,0.0032,0.81,0.02,0.14,0.031,0.012,9237.0,2.6999999999999998e-101,0.67,1.0,2.6999999999999998e-101,3.395e-06,1.004256,0.9953649624433716,1,0.6606315896878756
9592705,K00288.01,3e-07,1.0,4.8e-10,3e-07,5.0000000000000005e-22,8.4e-12,1.3e-21,1.6999999999999999e-19,0.013,6171.0,1.0,0.95,1.0,3.3e-06,7.605e-05,3.0048840000017177e-07,0.3316761519156451,0,0.6606315896878756
10386922,K00289.01,1.1e-16,1.0,3.9e-18,2.1e-18,1.1000000000000001e-20,1.2e-16,1.9999999999999997e-37,3.9999999999999995e-31,0.02,5778.0,1.0,1.0,1.0,0.0,3.222e-06,1.2601100000000039e-16,0.33167495854063017,0,0.6606315896878756
10386922,K00289.02,2.5e-09,1.0,2.3e-09,1.5e-10,3.8e-19,5.6e-21,5.2e-57,4.6e-19,0.049,5778.0,1.0,1.0,1.0,0.0,4.39e-07,2.4500000008456003e-09,0.3316749593630217,0,0.6606315896878756
10488450,K00290.01,0.28,1.0,0.008,0.21,0.049,0.00034,0.016,1.1e-05,0.015,7173.0,1.2e-100,1.0,1.0,1.2e-100,1.011e-05,0.283351,0.7582184822661667,1,0.6606315896878756
10933561,K00291.01,2.9e-05,1.0,1.4e-06,9.8e-06,1.8e-05,1.8e-08,5.3e-11,2.3e-08,0.018,5741.0,1.0,1.0,1.0,0.0,2.981e-05,2.9241053e-05,0.33168457757891623,0,0.6606315896878756
